J	Ct	Cp	Eta
1.128096831080875662e+00	-7.792131982747602104e-02	4.465467018328403426e-02	-1.968501695572270060e+00
7.293400599735173628e-01	7.072553591419649018e-03	1.573193486626978457e-02	3.278869830303976496e-01
7.006828455144471501e-01	1.363748196613847989e-02	1.974773618066700751e-02	4.838807639652756842e-01
6.781027054869148696e-01	1.879119264157794872e-02	2.277525455942970914e-02	5.594825970585719510e-01
6.675029007946515769e-01	2.120584970526140367e-02	2.404855733706981469e-02	5.885993905446512686e-01
6.526339092785483631e-01	2.401271643829553520e-02	2.582098051553827558e-02	6.069294305881002272e-01
6.434267724545907896e-01	2.602036988715219698e-02	2.698834096425743040e-02	6.203494552235665482e-01
6.367281812729028712e-01	2.712686168547547017e-02	2.780334003462851811e-02	6.212360559242847691e-01
6.126254121486174320e-01	3.194863451142120753e-02	3.073715981993608432e-02	6.367714356109842599e-01
5.964531695406448675e-01	3.498832928756771821e-02	3.262949714246575483e-02	6.395716063102194759e-01
5.793295980922387178e-01	3.794085609131344489e-02	3.438797016302423681e-02	6.391845987551316721e-01
