J	Ct	Cp	Eta
1.134185141349489001e+00	-7.969816617698220751e-02	4.646920605161097145e-02	-1.945212400882023296e+00
7.452568768171149438e-01	3.415891507915083582e-03	1.277075826491947362e-02	1.993395054487747398e-01
7.114969092876429757e-01	1.119554825989379013e-02	1.794913359272324108e-02	4.437873250842823691e-01
6.845175247046978440e-01	1.764752148560810516e-02	2.193071058537398796e-02	5.508274653242581920e-01
6.679502295039833060e-01	2.031686357676416865e-02	2.353694899474569058e-02	5.765680884098535186e-01
6.597745587959402691e-01	2.284058514621781222e-02	2.508200368337680508e-02	6.008147187010591805e-01
6.478805838569008380e-01	2.506015405216856923e-02	2.648916054062736350e-02	6.129294740752975201e-01
6.414615989642956650e-01	2.647688953214387755e-02	2.750802029879664476e-02	6.174165828877552498e-01
6.168315050418156087e-01	3.116337222474419369e-02	3.026694583596398896e-02	6.351004126992730869e-01
6.001438940089799390e-01	3.445635444909796868e-02	3.209276965992376857e-02	6.443435998687940813e-01
5.839622924392187109e-01	3.733593360441915532e-02	3.383391518521078334e-02	6.444059831279984607e-01
5.683952546636864556e-01	3.974183656631120193e-02	3.568295153411287640e-02	6.330494072026504604e-01
