J	Ct	Cp	Eta
1.141736638136571891e+00	-8.143178882317625433e-02	4.635270727580437233e-02	-2.005786981442436723e+00
7.534299983505631237e-01	8.658029918284054728e-04	1.167781322825827209e-02	5.585994003797584151e-02
7.194901734809896476e-01	9.013529627657921456e-03	1.716922342488328215e-02	3.777192383716518886e-01
6.925096551005828216e-01	1.573204457462227049e-02	2.150903619564366667e-02	5.065123636086120706e-01
6.779576713459556370e-01	1.880720265149684808e-02	2.331718258979929154e-02	5.468279568097699217e-01
6.678695857287276771e-01	2.088568451675106713e-02	2.463760448097496517e-02	5.661635438881534865e-01
6.527805523201606341e-01	2.392577092080480292e-02	2.649720072746606161e-02	5.894312428323510433e-01
6.438630056003856739e-01	2.597020545622513721e-02	2.783221080357186142e-02	6.007878662286763038e-01
6.215038514105801770e-01	3.030858463039744904e-02	3.053308316648588316e-02	6.169341620656093594e-01
6.039548680762613087e-01	3.361536498790278910e-02	3.236214723079997718e-02	6.273429010075715073e-01
5.860307528307914238e-01	3.679129692204741869e-02	3.403737554344984234e-02	6.334457662673054212e-01
5.707657339156219090e-01	3.943439262293053915e-02	3.585430730536311866e-02	6.277572135266715758e-01
