J	Ct	Cp	Eta
1.131830682894782392e+00	-7.897233646190914003e-02	4.264649218490532828e-02	-2.095912440346412886e+00
7.292081560683117969e-01	7.216812225642499877e-03	1.686413683752792381e-02	3.120561927629285082e-01
7.015158357562846225e-01	1.391114829502636784e-02	2.076951741066665469e-02	4.698660363433931897e-01
6.792100361181229173e-01	1.882843960513150630e-02	2.347596744515313694e-02	5.447470982453411770e-01
6.682176239846921995e-01	2.120257576133588451e-02	2.469061627657967092e-02	5.738185972714788807e-01
6.546092430089764935e-01	2.412283671888453343e-02	2.654295883852790527e-02	5.949235720042254094e-01
6.434769062539401618e-01	2.603847123874113503e-02	2.758662243211997683e-02	6.073652168733345569e-01
6.372047183536143633e-01	2.753349993656102265e-02	2.860565291230536891e-02	6.133219935986313764e-01
6.124242319785960786e-01	3.227386998694003334e-02	3.135994122331937223e-02	6.302722284769864958e-01
5.961641605099080587e-01	3.516671249615869327e-02	3.313103555562060126e-02	6.327943959967485821e-01
5.786844199084246743e-01	3.811585327065145773e-02	3.491182989504228867e-02	6.317930198890496785e-01
5.647323057325054352e-01	4.034534000952507554e-02	3.666748649780075808e-02	6.213765672350505254e-01
