J	Ct	Cp	Eta
1.140018026961900244e+00	-8.123380769347730845e-02	4.779126752802757144e-02	-1.937759970794031172e+00
7.542487870613011625e-01	9.787724461474904113e-04	1.103248068345962993e-02	6.691495335428644664e-02
7.210475039769115302e-01	8.703382953681096726e-03	1.625424624624001446e-02	3.860869621289659270e-01
6.923718417491826482e-01	1.573722886613815666e-02	2.092553075960226078e-02	5.207043137520676046e-01
6.775766215500912404e-01	1.874223703435513519e-02	2.273657240327986093e-02	5.585407256987169333e-01
6.679814223064151069e-01	2.085690456138017054e-02	2.406779617515009476e-02	5.788658285300189998e-01
6.533438497140234835e-01	2.385227252100309558e-02	2.594796685947588916e-02	6.005763625988748133e-01
6.443544150610724941e-01	2.593872750564382712e-02	2.728101932677064884e-02	6.126506267647641168e-01
6.208876211305497383e-01	3.030529959580000043e-02	2.999030886357335196e-02	6.274088559501057594e-01
6.027608787606150154e-01	3.360985903905190642e-02	3.183171720798076004e-02	6.364315200789770754e-01
5.865107883383542386e-01	3.674874161196651362e-02	3.358045647807972323e-02	6.418475409155451894e-01
5.741233262258687020e-01	3.891089830510639780e-02	3.482491046036392812e-02	6.414849045136855610e-01
