J	Ct	Cp	Eta
1.139063538315332247e+00	-8.031414844449361046e-02	4.281192039381071651e-02	-2.136856213466970189e+00
7.420820117467356036e-01	3.606317298211179218e-03	1.459683537424177543e-02	1.833399587677830289e-01
7.115078115827222494e-01	1.134829501013817112e-02	1.979158784786335182e-02	4.079713366065385038e-01
6.861894025302175404e-01	1.757387058566462629e-02	2.369973460446730615e-02	5.088244218164156285e-01
6.678474834113337089e-01	2.134955072600602452e-02	2.625993031032259131e-02	5.429657868787611807e-01
6.605758137470363334e-01	2.295311539833723782e-02	2.690894218281078207e-02	5.634659578692687854e-01
6.482961412496370812e-01	2.514415844713723674e-02	2.837059772310326217e-02	5.745688214025227447e-01
6.399002180642263671e-01	2.690200335987537328e-02	2.953305250933737844e-02	5.828926018028821598e-01
6.176002600963462763e-01	3.120187198605568410e-02	3.198209585658023241e-02	6.025335031355075754e-01
5.996083985240664438e-01	3.443116386096958803e-02	3.375699152260289160e-02	6.115833814210646091e-01
5.847668552173730383e-01	3.729656642239401187e-02	3.541903201483851543e-02	6.157648760161535950e-01
5.693174535162951466e-01	3.981151591936332723e-02	3.718859599568985486e-02	6.094715397823108338e-01
