Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.005951	0.100000	22.35	100930	1.190	1.533849E-5	-0.178510355	2.24731469	0.936627580	-0.0000741883605	-0.000171373804	-0.0000702992124	-0.0000161630913	294484.338
StandardRun	317.235004	23.083000	22.23	100930	1.191	1.532746E-5	1.37724518	2.13395401	0.850186677	1.55568134	-0.113532055	-0.0865112018	-0.0133788930	4595.50686
StandardRun	318.986876	23.149000	22.29	100930	1.191	1.533297E-5	-0.0800445662	2.25316912	0.977768635	0.0983916000	0.00568306069	0.0410707558	0.00312689525	960227.373
StandardRun	318.910160	23.147000	22.31	100930	1.190	1.533481E-5	-0.451782490	2.28132889	1.00650101	-0.273346323	0.0338428254	0.0698031317	0.00693184161	960143.642
StandardRun	318.678965	23.139000	22.32	100930	1.190	1.533573E-5	-0.758798334	2.30416682	1.03033978	-0.580362168	0.0566807568	0.0936419014	0.0100535794	960108.883
StandardRun	318.674138	23.140000	22.35	100930	1.190	1.533849E-5	-1.07991797	2.32705848	1.05340615	-0.901481804	0.0795724187	0.116708273	0.0131272527	960048.652
StandardRun	320.506416	23.208000	22.39	100930	1.190	1.534217E-5	-1.41050763	2.34918796	1.07678133	-1.23207147	0.101701897	0.140083449	0.0161706039	959905.604
StandardRun	318.505242	23.137000	22.43	100930	1.190	1.534585E-5	-1.74476748	2.37266127	1.09979979	-1.56633131	0.125175208	0.163101911	0.0192799737	959997.038
StandardRun	318.896768	23.152000	22.45	100930	1.190	1.534769E-5	-2.13412756	2.39852457	1.12806117	-1.95569139	0.151038513	0.191363287	0.0228998324	959938.674
StandardRun	319.613421	23.178000	22.45	100930	1.190	1.534769E-5	-2.65602528	2.43270771	1.16272941	-2.47758912	0.185221647	0.226031528	0.0275046124	960107.987
StandardRun	320.740222	23.220000	22.48	100930	1.190	1.535045E-5	-3.56398004	2.48677221	1.21653527	-3.38554388	0.239286145	0.279837388	0.0347189819	960173.773
StandardRun	321.288014	23.241000	22.51	100930	1.190	1.535321E-5	-4.09244413	2.51750182	1.24551356	-3.91400797	0.270015757	0.308815679	0.0387122465	960217.358
StandardRun	320.607242	23.216000	22.53	100940	1.190	1.535353E-5	-4.59304172	2.54478052	1.27305838	-4.41460555	0.297294463	0.336360504	0.0423788442	960213.161
StandardRun	321.552893	23.251000	22.55	100940	1.190	1.535537E-5	-5.04251382	2.57231329	1.31353811	-4.86407765	0.324827225	0.376840226	0.0469275191	960095.485
StandardRun	0.005949	0.100000	22.50	100940	1.190	1.535077E-5	-0.254331901	2.25614884	0.957913976	-0.0758957350	0.00866277407	0.0212160972	0.00199829891	622305.090
