Cp;Eta;Ct;J
0.0146342915097945;0.4380567045341374;0.0065840157726876;0.9736686140038936
0.0192699964436557;0.5726960691683878;0.01179132720486;0.9359295204378512
0.0253580384684246;0.6684652561840868;0.0188133631302603;0.9010067771379312
0.028991274967075;0.7027379654651295;0.0232866471374866;0.8748906386701651
0.0323311021333027;0.7252145853564603;0.027576714812029;0.850245831947062
0.0353114216235149;0.7388102541286702;0.0315477301035263;0.8269514255923479
0.0374196486593595;0.746272285523133;0.0344627898158654;0.8103013968891463
0.0392919095586302;0.7503269394904556;0.0371162769950958;0.794308606161071
0.0412490641622197;0.7498108660620899;0.0404752985377213;0.7641449882055873
0.0440650920901407;0.7526337611039661;0.0442253621369259;0.7499062617172845
0.0435659907161485;0.7465249724440998;0.0439083060972185;0.7407049578925325
0.0461359092979569;0.7513571537605075;0.0476607357490616;0.7273187237137517
