Cp;Eta;Ct;J
0.0140129020662699;0.4549126213839874;0.0065470386130146;0.9736686140038936
0.0198272528805938;0.614042250905148;0.0130082134628788;0.9359295204378512
0.0248977823106081;0.687147845850026;0.0189881562661744;0.9010067771379312
0.0285291755855025;0.72068012321841;0.0235005483742876;0.8748906386701651
0.0318510092483825;0.7426992593132014;0.0278222133979534;0.850245831947062
0.034830265510188;0.7564423196778572;0.0318605011396525;0.8269514255923479
0.0367603211370709;0.763721180064907;0.034647152215399;0.8103013968891463
0.0386293271897594;0.7682380237096531;0.0373614458502751;0.794308606161071
0.0400503758795315;0.7645584878252333;0.0400720482263354;0.7641449882055873
0.0413738520093107;0.7659394574728546;0.0422584359930584;0.7499062617172845
0.0422200848306335;0.7661078111121983;0.0436680441111086;0.7407049578925325
0.0453040142178217;0.7708910003139309;0.0480180912438028;0.7273187237137517
