J;Ct;Cp;Eta;std_ct;std_cp;std_eta;Ct_error;Cp_error;Eta_error
0.9540929203539822;0.005378478514475218;0.015821779620832782;0.3547479047392968;0.0009297315583924471;0.0003078098248050679;0.05955392328712995;0.000133223101447032;7.69912733819844e-5;0.0322479584567989
0.9278588168999654;0.010557252243295007;0.02104638963397289;0.4514984824233577;0.0008925950422145943;0.00019746470688754633;0.04184778071769024;0.000144815962943313;8.37145770161788e-5;0.0263778202643426
0.9030287922223607;0.015663744107498073;0.026162435980120316;0.5349545903454628;0.0008636036610295613;0.0002108648690674062;0.029258390468361116;0.000159534678235614;8.93047331820677e-5;0.0221489360747808
0.8794930623839178;0.020595965957608958;0.030974857066584684;0.5811963163180585;0.0007508241373751425;0.00021923300998225704;0.022393552182447148;0.000178982700090667;9.56893623175237e-5;0.0191897684099370
0.8571529979650749;0.02589252926380948;0.036055806128423254;0.6126266504880424;0.0005024622614215892;0.000431100038983325;0.01563229080095483;0.000204304899310538;0.000103643786225658;0.0169462592055601
0.8359197424744148;0.031348950093837785;0.04130671867567366;0.631886858321509;0.0006284087697466296;0.00033405431564040446;0.012347909431372272;0.000233121462586791;0.000112690586142102;0.0152395387478086
0.8157130311423358;0.0373667887430177;0.04691121334280102;0.6473697161249696;0.0009342679687228757;0.0007104051870668394;0.009914749678919902;0.000267205708103111;0.000123100591214799;0.0139894261345405
0.7964601769911503;0.0439716418557472;0.05293308858881644;0.6594796629346331;0.0010579637738782634;0.0007597659510226855;0.008155701932167777;0.000306505636138289;0.000134942428037879;0.0130649588508421
0.7780951971818885;0.051136804783417734;0.058601033624908656;0.6766185164281592;0.001002362277807941;0.000621485676996727;0.00741350521114273;0.000350138174001839;0.000146306965257717;0.0125775360657495
0.7605580575063774;0.057349431731574016;0.06375232185316668;0.6825228604538645;0.0011821889843467708;0.0007356669771318767;0.008013526593339121;0.000387242876742255;0.000156437086418278;0.0121196887289819
0.74379401679568;0.06380941979455063;0.07114677552615029;0.6659160761824142;0.0010442480753904324;0.0004013768336323263;0.012950537998160799;0.000427023313714980;0.000172016743256270;0.0113513059916697
