Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.216237	0.603000	22.63	100950	1.189	1.536122E-5	-0.401091308	2.26049086	0.960814887	0.00119661811	-0.000266851371	-0.000291879487	-0.0000373679197	280729.653
StandardRun	318.119542	23.125000	22.54	100950	1.190	1.535293E-5	1.15106005	2.14222832	0.876209260	1.55334797	-0.118529393	-0.0848975066	-0.0136051911	4582.98681
StandardRun	319.381549	23.172000	22.57	100950	1.190	1.535569E-5	-0.304413458	2.26347015	1.00210513	0.0978744681	0.00271243966	0.0409983656	0.00292337865	6151.21029
StandardRun	319.294011	23.170000	22.60	100950	1.190	1.535845E-5	-0.616386933	2.28726326	1.02593205	-0.214099007	0.0265055552	0.0648252784	0.00610820615	6441.02770
StandardRun	318.964509	23.160000	22.65	100950	1.189	1.536306E-5	-0.945747480	2.31158236	1.05127932	-0.543459555	0.0508246483	0.0901725490	0.00942989255	6691.89207
StandardRun	321.165956	23.239000	22.63	100950	1.189	1.536122E-5	-1.24230069	2.33248606	1.07375447	-0.840012768	0.0717283498	0.112647699	0.0123310702	6925.00404
StandardRun	319.742168	23.189000	22.67	100950	1.189	1.536490E-5	-1.59301024	2.35690277	1.09811514	-1.19072231	0.0961450580	0.137008373	0.0155933014	7139.50214
StandardRun	319.985531	23.199000	22.70	100950	1.189	1.536766E-5	-1.91396644	2.37933143	1.12028520	-1.51167852	0.118573716	0.159178431	0.0185760636	7328.80632
StandardRun	320.316650	23.211000	22.70	100950	1.189	1.536766E-5	-2.27422185	2.40303769	1.14555958	-1.87193392	0.142279982	0.184452813	0.0218518893	7508.69461
StandardRun	320.521744	23.220000	22.74	100950	1.189	1.537134E-5	-2.80716523	2.43623918	1.18159749	-2.40487731	0.175481468	0.220490719	0.0264826199	7693.00386
StandardRun	321.002096	23.237000	22.73	100950	1.189	1.537042E-5	-3.75233828	2.49296891	1.23802512	-3.35005036	0.232211201	0.276918356	0.0340505848	7902.07704
StandardRun	321.384055	23.252000	22.76	100950	1.189	1.537318E-5	-4.29778891	2.52455189	1.26748050	-3.89550099	0.263794182	0.306373734	0.0381328302	8025.67026
StandardRun	321.477861	23.255000	22.75	100950	1.189	1.537226E-5	-4.76866245	2.55011910	1.29310438	-4.36637453	0.289361388	0.331997618	0.0415564903	8140.01910
StandardRun	321.174778	23.246000	22.80	100950	1.189	1.537686E-5	-5.16933640	2.57853040	1.32010853	-4.76704848	0.317772692	0.359001760	0.0452626754	8315.28684
StandardRun	0.193836	0.571000	22.72	100950	1.189	1.536950E-5	2.87998810	2.79689804	0.423691338	3.28227602	0.536140336	-0.537415429	-0.0000852781955	274181.980
