Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.224438	0.614000	22.08	100870	1.191	1.532277E-5	-0.179237517	2.24778871	0.936458963	0.000524981364	-0.000261101685	-0.000340493367	-0.0000402346771	285469.049
StandardRun	318.175078	23.117000	22.05	100870	1.191	1.532001E-5	1.44698846	2.11948445	0.838071414	1.62675096	-0.128565354	-0.0987280426	-0.0152013824	4431.62027
StandardRun	318.655113	23.136000	22.09	100870	1.191	1.532369E-5	-0.198609389	2.26168612	0.985957357	-0.0188468912	0.0136363074	0.0491579012	0.00419967667	6259.30117
StandardRun	319.129509	23.154000	22.11	100870	1.191	1.532553E-5	-0.495115234	2.28197387	1.00707416	-0.315352736	0.0339240646	0.0702747066	0.00696881382	6530.96728
StandardRun	317.967190	23.113000	22.17	100880	1.190	1.532953E-5	-0.778012592	2.30290534	1.02896327	-0.598250094	0.0548555301	0.0921638178	0.00983265398	6749.05647
StandardRun	318.820700	23.144000	22.17	100880	1.190	1.532953E-5	-1.09299773	2.32541721	1.05210686	-0.913235233	0.0773674044	0.115307405	0.0128860912	6962.69401
StandardRun	320.526201	23.207000	22.20	100880	1.190	1.533229E-5	-1.43313428	2.34942059	1.07672380	-1.25337178	0.101370785	0.139924343	0.0161378182	7181.69395
StandardRun	319.048171	23.155000	22.24	100880	1.190	1.533597E-5	-1.77279611	2.37327509	1.10044379	-1.59303361	0.125225280	0.163644335	0.0193195998	7378.52405
StandardRun	319.522756	23.173000	22.26	100880	1.190	1.533781E-5	-2.15546851	2.39851949	1.12749997	-1.97570601	0.150469684	0.190700517	0.0228174630	7564.58214
StandardRun	320.224391	23.200000	22.30	100880	1.190	1.534149E-5	-2.68239589	2.43350080	1.16224934	-2.50263339	0.185450990	0.225449882	0.0274810503	7736.17636
StandardRun	320.672139	23.217000	22.32	100880	1.190	1.534333E-5	-3.60321098	2.48649956	1.21761549	-3.42344849	0.238449753	0.280816036	0.0347284959	7947.03158
StandardRun	320.755016	23.220000	22.32	100880	1.190	1.534333E-5	-4.14648513	2.52061322	1.24868067	-3.96672263	0.272563415	0.311881217	0.0390876570	8068.48104
StandardRun	0.185934	0.559000	22.29	100890	1.190	1.533905E-5	-0.179121211	2.25166412	0.939042419	0.000641286612	0.00361431334	0.00224296339	0.000391734668	273897.043
