J;Ct;Cp;Eta
1.135484596640129018e+00;-8.088499105611891837e-02;4.311378743660184559e-02;-2.130261962687743704e+00
7.464210433843380121e-01;3.176724087549880234e-03;1.576716843972087584e-02;1.503867810531944460e-01
7.114865125267296753e-01;1.117476171675126778e-02;2.095567319152605301e-02;3.794052412204839131e-01
6.832262767697693251e-01;1.789026533947500955e-02;2.517814464627808266e-02;4.854646579417289942e-01
6.655947602666427709e-01;2.138376899115016980e-02;2.720748568518368410e-02;5.231253177875475613e-01
6.554923892069266511e-01;2.383969977990310976e-02;2.876912907883006493e-02;5.431774359204902813e-01
6.443370448561521746e-01;2.585890324209999189e-02;3.002876709594726190e-02;5.548629167823740937e-01
6.374162106182218457e-01;2.714953141593417357e-02;3.091904620994587877e-02;5.597052159273389060e-01
6.134515544512766372e-01;3.168759800339584348e-02;3.349089540937829484e-02;5.804206192279647292e-01
5.967374777936194086e-01;3.483433185332164561e-02;3.527889949617355608e-02;5.892176804730460127e-01
5.817155760129691933e-01;3.775879018503691675e-02;3.736182015477096385e-02;5.878963147687216173e-01
