J;Ct;Cp;Eta;std_ct;std_cp;std_eta;Ct_error;Cp_error;Eta_error
0.943241469816273;0.0035699133698464973;0.01483375744635413;0.25800476727383914;0.000914481073386381;0.00044288470080819744;0.04336584888859656;0.000132093203706927;7.67578087218534e-5;0.0319591250991869
0.9173057419920918;0.008174938075084522;0.01939425846571257;0.3746963286424414;0.0008876055438675732;0.00044540224262915284;0.041012605029580394;0.000137831271829291;8.14939039399747e-5;0.0264794901104009
0.8927581235444161;0.012682305395837482;0.02382699582038997;0.4759091333383516;0.0008169077906826834;0.0005090650067851405;0.035157148005285264;0.000147136933674881;8.54851319347687e-5;0.0225996039770763
0.8694900791722022;0.017025110253176302;0.027994371354184245;0.532530856472847;0.0006636302429286153;0.0006427664203427231;0.027625134343805275;0.000161285008932775;9.02705554816204e-5;0.0197455271275562
0.8474041012253147;0.021536438736645937;0.032159792720371005;0.5712824211229848;0.0007269124448323915;0.0005992859737516917;0.025835919246503924;0.000180402410902324;9.60420248411512e-5;0.0175999236155567
0.826412343828599;0.026030064713879808;0.036326741864790936;0.5963143979210912;0.0006411249959529205;0.0006022780084129419;0.02247136314979951;0.000202124778260830;0.000102493704277435;0.0159060163547030
0.806435455110096;0.03102872593098254;0.04077902161126353;0.6180999903529353;0.0002809389095789156;0.0006440255626775759;0.014153689068121885;0.000228839834701828;0.000110112768728750;0.0146236591980898
0.7874015748031495;0.03749489163694626;0.04655986310725793;0.6394812557908867;0.00024454165966559323;0.0007053555758723692;0.010659457642407338;0.000265983551502229;0.000121034022975958;0.0135416759310186
0.7692454705297761;0.047496944836429224;0.05493435047331743;0.6698324735285115;0.00039452179389368197;0.0006962176511312484;0.008396562249605614;0.000327373032830858;0.000138303076108797;0.0128054157129524
0.75190779088557;0.05805816483122957;0.06334779179973635;0.6961825817658011;0.00028677522502035236;0.0008612976386293639;0.007104093732835582;0.000392168901978390;0.000155688385496095;0.0123782056937179
0.7353344173045655;0.06369857003871902;0.06812554750275546;0.6950379617104161;0.0011993333891255106;0.00044546265150927625;0.014750875906578325;0.000426734973441393;0.000165350093321143;0.0119472312982256
