J;Ct;Cp;Eta
1.335310423316725448e+00;-7.291369409535854162e-02;7.230457547939937724e-02;-1.346559537657466832e+00
9.938785006610337813e-01;-2.346146498667060244e-03;8.110670107883462959e-03;-2.874959199930827713e-01
9.539805021891706316e-01;5.540360461320142926e-03;1.638067140224018850e-02;3.226605140541672356e-01
9.140431724566159266e-01;1.281977258496687193e-02;2.359398349127772576e-02;4.966446470587445039e-01
8.846160364593504966e-01;1.856812294189985960e-02;2.913379711933898955e-02;5.638008411354676896e-01
8.593815720925107593e-01;2.407274821622528913e-02;3.424544364489352094e-02;6.041001080659585964e-01
8.361857129685004164e-01;2.896387719250029941e-02;3.889103687166645812e-02;6.227445254407065756e-01
8.161992503224891893e-01;3.423308194043280656e-02;4.389846624897159044e-02;6.364918459232997705e-01
7.992522899803375935e-01;4.119378998993279001e-02;5.036022160855811725e-02;6.537745452817430580e-01
7.781826099253558171e-01;5.415647648407650311e-02;6.123618692961343285e-02;6.882144419472241426e-01
7.672238163681819323e-01;6.091831072192860352e-02;6.663187063917662412e-02;7.014357902673216127e-01
7.539973795730174899e-01;6.464332284049210953e-02;7.169260969790360039e-02;6.798594197366607528e-01
7.421555428176298541e-01;6.871420731026395279e-02;7.398208607956932581e-02;6.893105145857082450e-01
