J;Ct;Cp;Eta;std_ct;std_cp;std_eta;Ct_error;Cp_error;Eta_error
0.943241469816273;0.005397325552106008;0.015891112466441835;0.3547479047392968;0.0009329894845179111;0.00030915868261825795;0.05955392328712996;0.000133694431360895;7.73380080599463e-5;0.0322479584567989
0.9173057419920918;0.010594246521467099;0.021138617317462985;0.45149848242335766;0.0008957228361259022;0.00019833001978938113;0.04184778071769024;0.000145342415855008;8.40982469007690e-5;0.0263778202643426
0.8927581235444161;0.015718632339149188;0.02627708276310154;0.5349545903454627;0.0008666298645653204;0.0002117889030106025;0.02925839046836108;0.000160131212062849;8.97203060658413e-5;0.0221489360747808
0.8694900791722022;0.020668137473103684;0.03111059242848621;0.5811963163180585;0.0007534551436593788;0.00022019371407483;0.02239355218244708;0.000179667347619355;9.61402772090353e-5;0.0191897684099370
0.8474041012253147;0.025983260773116055;0.03621380678950693;0.6126266504880424;0.0005042229684921063;0.0004329891685984047;0.015632290800954848;0.000205100318165086;0.000104137473142479;0.0169462592055601
0.826412343828599;0.031458801762950926;0.041487729435347384;0.6318868583215089;0.0006306108132611753;0.0003355181798103233;0.012347909431372244;0.000234040375991581;0.000113232062543932;0.0152395387478086
0.806435455110096;0.037497727868587516;0.0471167836383035;0.6473697161249696;0.0009375417911461449;0.0007135182637456422;0.009914749678919902;0.000268268488916770;0.000123696294463181;0.0139894261345405
0.7874015748031495;0.04412572542910581;0.05316504742952147;0.659479662934633;0.001061671045926416;0.0007630953322075915;0.008155701932167705;0.000307732649298801;0.000135599188841663;0.0130649588508421
0.7692454705297761;0.051315996218593604;0.05885783004820714;0.6766185164281591;0.0010058747134379536;0.0006242090982251908;0.007413505211142618;0.000351546393743580;0.000147022125451297;0.0125775360657495
0.75190779088557;0.05755039319215072;0.06403169180990936;0.6825228604538647;0.001186331561139584;0.000738890753860379;0.008013526593339076;0.000388805121717269;0.000157204299339475;0.0121196887289819
0.7353344173045655;0.06403301807291692;0.07145854882355113;0.6659160761824142;0.0010479072854662525;0.000403135712766289;0.01295053799816075;0.000428750259459712;0.000172863077740744;0.0113513059916697
