J;Ct;Cp;Eta
1.385659309115425231e+00;-8.628197191261630095e-02;8.588613130727823508e-02;-1.392045674543275213e+00
9.798813846702001396e-01;-1.546298741896871397e-03;1.286603196721484640e-02;-1.177666397988666735e-01
9.410336985652314468e-01;5.628792662073714946e-03;1.952136786481242781e-02;2.713377266352210437e-01
9.133965914303822098e-01;1.104862731680146364e-02;2.490892554522540145e-02;4.051470832344063466e-01
8.837432699829115279e-01;1.701681801696314569e-02;3.061460349518440802e-02;4.912197671082249584e-01
8.590425699492790779e-01;2.244448124730176811e-02;3.583558360691171951e-02;5.380340686886921908e-01
8.377612029277803352e-01;2.735984674579164388e-02;4.052050174602024601e-02;5.656647162303544141e-01
8.160045566678852946e-01;3.428747809513416067e-02;4.596738491497649043e-02;6.086650005004768937e-01
8.002332442077834118e-01;4.084952804249868813e-02;5.219182446379402179e-02;6.263270289100993926e-01
7.810768190568140312e-01;5.365421039782897195e-02;6.258872163872368499e-02;6.695784622099190120e-01
7.690073790912870244e-01;6.091107250521511640e-02;6.848016792557702626e-02;6.840091904532247247e-01
7.558531862520750932e-01;6.498910273092223244e-02;7.236884069593244040e-02;6.787758363744518242e-01
7.397524872964121867e-01;6.839149919044039405e-02;7.417754284156699573e-02;6.820498455188526155e-01
