J;Ct;Cp;eta
0.0;-4.7788557014766965e-09;1.424125053404374e-08;-0.0
1.2092839733553016;-0.0432228848010459;0.03769581668674505;-1.3865926372266786
0.7999835037041444;0.0009735009632204912;0.004866648869670477;0.16002484096807662
0.7703087917171456;0.00449246266970772;0.007684162235939564;0.4503527365353447
0.7495120218252083;0.0071220231333255215;0.0099635874702287;0.5357550153591606
0.7244619318875496;0.009998706302957688;0.012297528425273157;0.5890356040755438
0.7049343847047362;0.012742551490264478;0.014575972287651454;0.6162650776969428
0.689026578856419;0.015202330651044711;0.01659365789664497;0.6312538166314307
0.6741146291660093;0.017881406018646243;0.01863434320654142;0.6468764288400071
0.6587607121464395;0.020842764078119306;0.020849424937998427;0.6585502548887201
0.6395686961895127;0.02539513706960922;0.02376155516659866;0.6835383707542437
0.6289415037253799;0.02745522912735137;0.02523785242724374;0.6841997805582325
0.618711493222646;0.02987028124289509;0.027581487619178172;0.6700540074539564
0.6086687814150901;0.03169782956162336;0.028377622516870434;0.6798835695734052
0.0004980154409256341;-1.8692307795583043e-08;3.93923674499669e-07;-2.3631628438068855e-05
