J	Ct	Cp	eta
0.00046695087291594064	2.1905046196776983e-06	-7.56277460895927e-07	-0.0013524904511542219
1.0969208774666923	-0.024874418413099474	-0.029417377775350823	0.9275221292848671
0.8189268561565997	0.0034146445783156333	0.0016461246876016437	1.6987438257100638
0.7820113119120929	0.006481111325309581	0.004660337706448619	1.0875397212396303
0.7523705636656588	0.009305092671380605	0.00737604333100997	0.9491372954243771
0.7295239818718041	0.01146021491924587	0.009379396499229255	0.8913688233226863
0.7060838217665607	0.01386507330054967	0.011460124316103465	0.8542580931141469
0.6881421952443161	0.015835736118165928	0.013162881385526678	0.8278763514230651
0.6720035675039114	0.017949329083539592	0.014932689803233461	0.8077589059560095
0.6561580078235553	0.021134812035440823	0.017448290752617057	0.7947928171027372
0.6392650582321371	0.026814039670861867	0.021528791274125426	0.7962025556090438
0.629826848716764	0.029789203077531256	0.02348104637839702	0.7990291232236842
0.6210593268274635	0.03214258529654595	0.02495401618806641	0.7999695213916572
0.6077334863014255	0.033398548489999805	0.026120720296362743	0.7770618911325032
0.00045273009839161813	-1.7261392315350534e-05	-8.190774911808338e-07	0.009540918808596156
