J	Ct	Cp	eta
6.621111324528458e-05	1.86848166852418e-07	-2.2482655940854197e-05	-5.502652875036277e-07
1.1014548194360452	-0.03059659394603812	-0.4401084174928403	0.07657378164265549
0.8003367500293275	0.002088068938652498	-0.22595051285012044	-0.0073961253157537885
0.7689780950803641	0.005041153873735697	-0.20762306066520056	-0.018671032448959634
0.7454333489001633	0.007491294358236491	-0.1940955228963352	-0.028770682382198143
0.7205180937563437	0.00990698220387597	-0.18076126786283167	-0.039489432757417
0.6996911140508396	0.012305301645201737	-0.16963553166632633	-0.05075534666757526
0.682514755710823	0.014384478372027403	-0.16035977521279185	-0.06122245263242768
0.6653779317929497	0.0166204279503337	-0.15153896828378355	-0.07297704412502722
0.65188470261168	0.019818496786276455	-0.14387194702501857	-0.0897977343803219
0.6340907602162157	0.025262309013992693	-0.13514640936909025	-0.11852772709448874
0.6268935008127575	0.02814900990234456	-0.1305439389532177	-0.13517618285148889
0.00046025880654240747	9.851041642251104e-07	-0.00011902790766694175	-3.809214795364592e-06
