J;Ct;Cp;Eta
1.365240180483918486e+00;-7.621513097151069727e-02;7.682098258268334201e-02;-1.354473161693270367e+00
9.762184707807214368e-01;9.986362819815014470e-05;1.057687340796700792e-02;9.217158478306026331e-03
9.361659348452989748e-01;8.201155374840847501e-03;1.819321875235150113e-02;4.220057150308866301e-01
9.047624149393383997e-01;1.464476713680670783e-02;2.461466187120507979e-02;5.382984722784983633e-01
8.786686132038172836e-01;2.051358065011008730e-02;3.038247575146351548e-02;5.932577584895677436e-01
8.540788662557943223e-01;2.623766593316445225e-02;3.578547372642211510e-02;6.262048155268576943e-01
8.327587326734848805e-01;3.171426943309951785e-02;4.104326573404176032e-02;6.434754727343334757e-01
8.153467357290500317e-01;3.692809450636015678e-02;4.591809115641231481e-02;6.557154392566679757e-01
7.986592046812829304e-01;4.309642266957388473e-02;5.189276286781249053e-02;6.632785142230223085e-01
7.725310235991400543e-01;5.291951017030696591e-02;5.975973698453794503e-02;6.841054767495048372e-01
7.588174717216550347e-01;5.734339745100253821e-02;6.354562157949392165e-02;6.847548389980873118e-01
7.478340783440983186e-01;6.252514563345124010e-02;6.984519115750061069e-02;6.694581814900106842e-01
7.359868286125759163e-01;6.624505254034411539e-02;7.218127518961299505e-02;6.754589192607853843e-01
