J;Ct;Cp;Eta
1.340837496264434048e+00;-7.385763737951234198e-02;7.148306619133247553e-02;-1.385378312100993936e+00
9.962120716146847244e-01;-2.171197093165236954e-03;9.357283928499477918e-03;-2.311539086121087716e-01
9.524993127520546832e-01;5.837033324875461754e-03;1.765675762844992266e-02;3.148805883531181071e-01
9.158845760968703509e-01;1.270363468841138876e-02;2.452440895346406913e-02;4.744278687230793490e-01
8.881846100359659379e-01;1.811938677337466760e-02;2.996469565073055577e-02;5.370773881031645214e-01
8.614861675460493418e-01;2.365166404947769904e-02;3.497847307453429838e-02;5.825177495499492819e-01
8.381854061834523861e-01;2.842323895632821104e-02;3.934347279375275536e-02;6.055373966235697569e-01
8.193443338268693310e-01;3.355709773593112261e-02;4.406501864365438420e-02;6.239602009919730241e-01
8.002836864428368724e-01;4.048436466710637199e-02;5.015037044268552680e-02;6.460366356837835555e-01
7.808868118146314874e-01;5.317623572049999525e-02;6.081539436578319718e-02;6.827978607904534591e-01
7.692203439437886869e-01;6.045261066604227379e-02;6.658413564171392074e-02;6.983852462853118448e-01
7.587294782278248828e-01;6.598428744075886254e-02;7.049948165827502056e-02;7.101360577916447925e-01
7.447653668447328235e-01;7.139938222157032888e-02;7.403616425917883270e-02;7.182407087782443078e-01
