J;Ct;Cp;Eta
1.346270880830286565e+00;-7.439355622316462524e-02;7.012727377375686799e-02;-1.428172992832597687e+00
9.832860231758006053e-01;-2.238582303087053096e-03;9.622972703623035307e-03;-2.287408224202337192e-01
9.443394092977387411e-01;5.125944355037508407e-03;1.709396627082395564e-02;2.831777708951728756e-01
9.075362103092822208e-01;1.259659744333417944e-02;2.459669009910541229e-02;4.647726283680288506e-01
8.812596219524263530e-01;1.825889728144858976e-02;3.011136623289430853e-02;5.343772444951235823e-01
8.545466065035859371e-01;2.489125093032936581e-02;3.631652077557297881e-02;5.857040696599216112e-01
8.349366452124157290e-01;3.004004056766813521e-02;4.101970941872072618e-02;6.114507159859816632e-01
8.155096782292703406e-01;3.534074377755201668e-02;4.575623366608385506e-02;6.298752383498179563e-01
8.004306127692458750e-01;4.072654457737837769e-02;5.078962465901381423e-02;6.418392191496450350e-01
7.735746500605608089e-01;5.150853336141682226e-02;5.961548193303387727e-02;6.683783201643735961e-01
7.589639852187073377e-01;5.595308776832100955e-02;6.338902282312866565e-02;6.699326884471608068e-01
7.480508476003948637e-01;6.039763582341767939e-02;7.067928207519430517e-02;6.392326201432113608e-01
7.372291736057858813e-01;6.445932458072504978e-02;7.328804201180565137e-02;6.484181223477092360e-01
