J	Ct	Cp	eta
0.0004718552753979832	-3.226121682394487e-07	0.00015018590255715304	-1.0135855023638858e-06
1.1537899597404147	-0.0031513777953964765	0.5748553957193886	-0.006325117737004312
0.8045955185620877	-0.0005377451368956699	0.2724527762902343	-0.0015880452134351061
0.7750880887277969	-0.0003316854729610922	0.2520748033157753	-0.0010198776550234422
0.7500923638445848	-0.0001415790977669663	0.2342909208796198	-0.0004532715126830384
0.7254779052359843	3.2817387135097574e-05	0.2188999896672413	0.00010876331840070375
0.7060636875003611	0.0002008892850306709	0.2053924406795568	0.000690583494206388
0.6895632921403358	0.0003472504402576905	0.1949571700111237	0.0012282244185613264
0.6753137201583256	0.0004945832597250865	0.18631306961989974	0.0017926754238678795
0.6633580359543041	0.0006480448058993814	0.1780877231317427	0.0024138987353653136
0.6399528285267463	0.0009311322005203928	0.16464711685441047	0.003619138293094239
0.6290427186026297	0.0010545260660154503	0.1583872380996291	0.004188102219362132
0.6203296578425149	0.00117837896702486	0.15231342265070968	0.0047992055375163075
0.6110236284094286	0.0012694042613796857	0.14729324067401203	0.005265930698226922
0.0004909994296076725	-3.22547989071907e-07	0.00015033985298071323	-1.0534191401379458e-06
