J;Ct;Cp;Eta
1.318359512518937349e+00;-7.002218961198350411e-02;6.682349301440053402e-02;-1.381466541152964078e+00
6.327514908672265265e-03;-1.014359125841799171e-07;3.577181681189560114e-07;-1.794253986388909781e-03
6.327519985795522668e-03;2.820898745255168425e-07;7.938105016611463821e-07;2.248558459626793116e-03
6.325562083625355624e-03;5.989696277083572884e-07;1.151384465909271844e-06;3.290664133880833505e-03
6.326232322701385788e-03;9.305016830505223303e-07;1.503585019167938115e-06;3.915022927602588264e-03
6.345768331067233418e-03;1.272112526325829413e-06;1.852720112685515588e-06;4.357124061988648135e-03
6.325752238491273195e-03;1.616927418118357467e-06;2.208550232660235297e-06;4.631220102392681268e-03
6.330238154304747983e-03;2.019110225557412055e-06;2.623529523856025054e-06;4.871852392491627173e-03
6.336229517200271839e-03;2.557029876290827698e-06;3.149966922539190245e-06;5.143523274033784919e-03
6.347276253895738421e-03;3.493618277898293703e-06;3.975648071082838226e-06;5.577697004111386962e-03
6.352728316331894033e-03;4.038585511069070696e-06;4.432511784379446081e-06;5.788148522133721580e-03
6.345922517729346742e-03;4.555156250048963093e-06;4.852375815820152731e-06;5.957219662318232085e-03
6.356268482937414005e-03;5.020168876502262571e-06;5.374516131540756978e-06;5.937193307779111556e-03
