Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM
StandardRun	0.006055	0.100000	21.10	102250	1.211	1.502713E-5	-0.105234919	2.12002549	0.850166779	-0.000535574794	0.000240724066	0.000146853498	0.0000259211875	314094.787
StandardRun	176.814933	17.088000	21.05	102240	1.211	1.502407E-5	1.29788483	2.04234732	0.787748612	1.40258417	-0.0774374430	-0.0622713135	-0.00934372164	3851.09386
StandardRun	177.962878	17.144000	21.10	102250	1.211	1.502713E-5	-0.411264892	2.16996839	0.918362220	-0.306565548	0.0501836298	0.0683422937	0.00792701377	5976.14790
StandardRun	177.468338	17.121000	21.10	102240	1.211	1.502860E-5	-0.743451523	2.19173475	0.938837946	-0.638752179	0.0719499877	0.0888180201	0.0107521644	6212.22089
StandardRun	177.657587	17.131000	21.13	102240	1.211	1.503132E-5	-1.04553061	2.20959671	0.958408482	-0.940831266	0.0898119435	0.108388556	0.0132556494	6422.83086
StandardRun	178.149665	17.155000	21.14	102240	1.211	1.503222E-5	-1.20348689	2.21840765	0.967983442	-1.09878755	0.0986228863	0.117963516	0.0144852986	6533.96513
StandardRun	177.476257	17.122000	21.15	102250	1.211	1.503166E-5	-1.40126325	2.23222845	0.979907519	-1.29656391	0.112443686	0.129887593	0.0162071160	6669.97345
StandardRun	177.994813	17.149000	21.19	102240	1.210	1.503675E-5	-1.55352777	2.24065543	0.990343613	-1.44882843	0.120870670	0.140323687	0.0174686786	6776.08617
StandardRun	178.264778	17.162000	21.19	102240	1.210	1.503675E-5	-1.64942497	2.24817898	0.996815851	-1.54472563	0.128394221	0.146795925	0.0184047170	6852.56357
StandardRun	177.905741	17.145000	21.20	102240	1.210	1.503766E-5	-2.06607786	2.27391831	1.02387363	-1.96137851	0.154133546	0.173853699	0.0219357870	7115.11181
StandardRun	178.697810	17.184000	21.23	102240	1.210	1.504038E-5	-2.38107106	2.29440927	1.04438531	-2.27637171	0.174624504	0.194365383	0.0246780436	7324.65478
StandardRun	178.613885	17.180000	21.26	102250	1.210	1.504162E-5	-2.72002731	2.31594247	1.06587404	-2.61532797	0.196157711	0.215854115	0.0275553510	7539.39834
StandardRun	0.038122	0.251000	21.26	102240	1.210	1.504309E-5	-0.0427110057	2.10945902	0.840001189	0.0619883386	-0.0103257447	-0.0100187374	-0.00136063896	597235.566
