Name	DP	U	T	Pa	rho	nu	RawThr	RawLoadL	RawLoadR	Thrust	LoadL	LoadR	Torque	RPM

StandardRun	0.130126	0.464000	21.54	102220	1.209	1.507142E-5	-0.0935694406	2.11911435	0.850060009	-0.00463267880	-0.000279068574	0.0000449830469	-0.0000156556400	312185.372
StandardRun	176.732925	17.097000	21.41	102210	1.209	1.506110E-5	1.32941948	2.03905898	0.786606583	1.41835624	-0.0803344417	-0.0634084428	-0.00961352411	3832.43860
StandardRun	178.298274	17.172000	21.42	102220	1.209	1.506054E-5	-0.230972921	2.15635268	0.905354483	-0.142036160	0.0369592564	0.0553394568	0.00617293794	5858.06431
StandardRun	178.443514	17.181000	21.46	102210	1.209	1.506564E-5	-0.600219682	2.18131820	0.930566837	-0.511282920	0.0619247802	0.0805518112	0.00952883443	6139.24079
StandardRun	178.227199	17.170000	21.44	102210	1.209	1.506382E-5	-0.958538193	2.20380442	0.953437655	-0.869601431	0.0844109942	0.103422630	0.0125623128	6377.12561
StandardRun	178.167527	17.168000	21.47	102210	1.209	1.506654E-5	-1.14010673	2.21648132	0.964592856	-1.05116997	0.0970879032	0.114577830	0.0141562043	6534.53741
StandardRun	178.481591	17.184000	21.50	102210	1.209	1.506926E-5	-1.30240860	2.22581649	0.975208091	-1.21347184	0.106423070	0.125193066	0.0154904871	6621.67630
StandardRun	178.238454	17.172000	21.49	102210	1.209	1.506836E-5	-1.46773476	2.23656573	0.986162558	-1.37879800	0.117172312	0.136147532	0.0169420312	6738.52994
StandardRun	179.078436	17.213000	21.51	102210	1.209	1.507017E-5	-1.58208819	2.24480548	0.994240497	-1.49315143	0.125412056	0.144225471	0.0180333578	6822.21110
StandardRun	178.775111	17.199000	21.53	102210	1.209	1.507198E-5	-1.98644130	2.26962011	1.02011352	-1.89750454	0.150226691	0.170098493	0.0214233483	7088.85179
StandardRun	178.769041	17.199000	21.54	102210	1.209	1.507289E-5	-2.30524425	2.28868029	1.03952780	-2.21630749	0.169286867	0.189512770	0.0239965198	7285.96452
StandardRun	179.164237	17.218000	21.54	102210	1.209	1.507289E-5	-2.63100902	2.30951502	1.06029635	-2.54207226	0.190121597	0.210281327	0.0267789475	7496.13063
StandardRun	178.866925	17.204000	21.55	102210	1.209	1.507380E-5	-2.94042112	2.33144726	1.08296931	-2.85148435	0.212053835	0.232954287	0.0297621432	7695.17034
StandardRun	0.154113	0.505000	21.56	102210	1.209	1.507470E-5	-0.0940135544	2.10839683	0.838640565	-0.00507679256	-0.0109965899	-0.0113744612	-0.00149617590	285050.702
